NIF;Nombre;Apellido1;Apellido2;Cuenta;Antiguedad;NSS;Grupo_profesional;Grupo_Cotizacion;Email;Departamento;id
2;2;2;2;2;2;2;2;2;2;2;1
12345686-I;MIRIAM;JUAN;VALENCIA;mjuanv;19/02/2023;0;B3;7;mjuanv@empresa4.com;1;2
1;1;1;1;1;1;1;1;1;1;1;3
12345688-K;LAURA;ALBA;ARIAS;lalbaa;16/01/2023;0;B2;6;lalbaa@empresa4.com;3;4
12345689-L;JORGE;CARVALHO;PELLICER;jcarvalhop;18/12/2022;0;A3;1;jcarvalhop@empresa4.com;3;5
12345690-M;ANTONIO;CAMPOS;GALLEGO;acamposg;7/11/2022;0;A2;6;acamposg@empresa4.com;4;6
12345691-N;CLAUDIO;MONCHO;AGUILAR;cmonchoa;7/01/2023;0;A1;6;cmonchoa@empresa4.com;3;7
12345692-O;PEPE;CHAVES;CAMPOS;pchavesc;26/03/2023;0;B1;2;pchavesc@empresa4.com;3;8
12345693-P;SARA;ALBA;MONCHO;salbam;29/11/2022;0;B3;7;salbam@empresa4.com;2;9
12345694-Q;ISABEL;CARVALHO;ALABAU;icarvalhoa;16/09/2015;0;A3;5;icarvalhoa@empresa4.com;1;10
12345695-R;FRANCISCO;CAMPOS;GOMIS;fcamposg;11/12/2010;0;B2;4;fcamposg@empresa4.com;1;11
12345696-S;BASILIO;MONCHO;COELLO;bmonchoc;24/09/2021;0;B3;5;bmonchoc@empresa4.com;1;12
12345697-T;MIRIAM;JUAN;PUJOL;mjuanp;15/08/2011;0;A3;6;mjuanp@empresa4.com;1;13
12345698-U;IGNACIO;CHAVES;JUAN;ichavesj;27/10/2014;0;B1;7;ichavesj@empresa4.com;1;14
12345699-V;LAURA;ALBA;ALABAU;lalbaa;20/04/2015;0;B2;7;lalbaa@empresa4.com;4;15
12345700-W;JORGE;CARVALHO;GOMIS;jcarvalhog;15/02/2022;0;B3;7;jcarvalhog@empresa4.com;1;16
12345701-X;ANTONIO;ALABAU;VALENCIA;aalabauv;16/11/2011;0;A2;5;aalabauv@empresa4.com;3;17
12345702-Y;CLAUDIO;GOMIS;CAMPOS;cgomisc;27/09/2013;0;A3;5;cgomisc@empresa4.com;3;18
12345703-Z;SUSANA;VALENCIA;MONCHO;svalenciam;23/05/2012;0;A3;6;svalenciam@empresa4.com;3;19
12345704-A;PEDRO;CHAVES;ALABAU;pchavesa;15/04/2013;0;B3;5;pchavesa@empresa4.com;1;20
12345705-B;PIEDAD;ALBA;GOMIS;palbag;25/01/2011;0;A3;4;palbag@empresa4.com;2;21
12345706-C;MANUEL;CARVALHO;VALENCIA;mcarvalhov;27/05/2011;0;A1;7;mcarvalhov@empresa4.com;3;22
12345707-D;JAVIER;CAMPOS;VARGAS;jcamposv;17/04/2019;0;B2;4;jcamposv@empresa4.com;4;23
12345708-E;EVA;MONCHO;CARVALHO;emonchoc;4/03/2019;0;A2;4;emonchoc@empresa4.com;3;24
12345709-F;RODRIGO;CHAVES;CAMPOS;rchavesc;8/09/2012;0;A3;7;rchavesc@empresa4.com;3;25
12345710-G;JOHANN;ALBA;CHAVES;jalbac;21/12/2011;0;A3;3;jalbac@empresa4.com;2;26
12345711-H;BENITO;APARICIO;ROJALES;baparicior;25/12/2012;0;A2;3;baparicior@empresa4.com;4;27
12345712-H;JORGE;BUSTOS;MU�OZ;jbustosm;25/01/2021;0;A1;2;jbustosm@empresa4.com;1;28
12345713-H;BEATRIZ;CANAVARO;PORTA;bcanavarop;1/01/2014;0;B1;5;bcanavarop@empresa4.com;4;29
